Month,Race/Ethnicity,action_taken,CALLS FOR SERVICE,CHECK POINT,EQUIPMENT VIOLATION,MISSING,OTHER INVESTIGATIVE DETENTION,TERRY STOP,TRAFFIC VIOLATION
2021-04,BLACK,NO ENFORCEMENT ACTION,4,0,0,0,1,6,2
2021-04,BLACK,WARNING ISSUED,0,0,15,0,2,3,132
2021-04,INDIGENOUS,CITATION/SUMMONS,0,0,0,0,0,0,5
2021-04,INDIGENOUS,WARNING ISSUED,0,0,0,0,0,0,4
2021-04,LATINO,ARREST,37,0,1,0,0,14,32
2021-04,LATINO,CITATION/SUMMONS,18,1,22,0,4,4,308
2021-04,LATINO,NO ENFORCEMENT ACTION,3,0,0,0,4,5,2
2021-04,LATINO,WARNING ISSUED,1,0,13,0,2,2,134
2021-04,UNKNOWN,ARREST,1,0,0,0,0,0,0
2021-04,UNKNOWN,CITATION/SUMMONS,5,0,2,0,0,1,253
2021-04,UNKNOWN,NO ENFORCEMENT ACTION,0,0,0,0,0,1,1
2021-04,UNKNOWN,WARNING ISSUED,0,0,5,0,0,0,70
2021-04,WHITE,ARREST,35,0,1,0,0,7,29
2021-04,WHITE,CITATION/SUMMONS,22,3,49,0,8,5,669
2021-04,WHITE,NO ENFORCEMENT ACTION,7,0,1,0,3,7,4
2021-04,WHITE,WARNING ISSUED,0,0,19,0,1,5,261
2021-05,AAPI,ARREST,7,0,0,0,0,1,3
2021-05,AAPI,CITATION/SUMMONS,8,0,7,0,1,0,135
2021-05,AAPI,NO ENFORCEMENT ACTION,0,0,0,0,2,0,0
2021-05,AAPI,WARNING ISSUED,0,0,3,0,0,0,58
2021-05,BLACK,ARREST,32,0,1,0,0,8,22
2021-05,BLACK,CITATION/SUMMONS,12,2,15,0,0,0,247
2021-05,BLACK,NO ENFORCEMENT ACTION,4,0,0,0,0,2,3
2021-05,BLACK,WARNING ISSUED,0,0,8,0,0,2,146
2021-05,INDIGENOUS,CITATION/SUMMONS,0,0,0,0,1,0,4
2021-05,INDIGENOUS,WARNING ISSUED,0,0,0,0,0,0,4
2021-05,LATINO,ARREST,48,0,0,0,0,8,36
2021-05,LATINO,CITATION/SUMMONS,30,0,22,0,2,0,273
2021-05,LATINO,NO ENFORCEMENT ACTION,5,0,0,0,1,4,1
2021-05,LATINO,WARNING ISSUED,1,0,10,0,1,3,121
2021-05,UNKNOWN,CITATION/SUMMONS,4,0,3,0,0,0,317
2021-05,UNKNOWN,NO ENFORCEMENT ACTION,1,0,0,0,1,0,0
2021-05,UNKNOWN,WARNING ISSUED,0,0,9,0,0,1,49
2021-05,WHITE,ARREST,35,0,4,0,0,2,19
2021-05,WHITE,CITATION/SUMMONS,31,0,73,0,4,2,624
2021-05,WHITE,NO ENFORCEMENT ACTION,6,0,0,0,0,9,5
2021-05,WHITE,WARNING ISSUED,2,0,18,0,1,3,283
2021-06,AAPI,ARREST,3,0,0,0,0,1,0
2021-06,AAPI,CITATION/SUMMONS,4,0,10,0,0,0,147
2021-06,AAPI,WARNING ISSUED,0,0,2,0,0,0,47
2021-06,BLACK,ARREST,32,0,2,0,0,6,22
2021-06,BLACK,CITATION/SUMMONS,9,0,18,0,3,0,290
2021-06,BLACK,NO ENFORCEMENT ACTION,1,0,0,0,0,3,1
2021-06,BLACK,WARNING ISSUED,0,0,6,0,3,0,111
2021-06,INDIGENOUS,ARREST,0,0,0,0,0,1,0
2021-06,INDIGENOUS,CITATION/SUMMONS,0,0,1,0,0,0,12
2021-06,INDIGENOUS,WARNING ISSUED,0,0,1,0,0,0,5
2021-06,LATINO,ARREST,31,0,1,0,0,6,17
2021-06,LATINO,CITATION/SUMMONS,28,2,23,0,4,2,351
2021-06,LATINO,NO ENFORCEMENT ACTION,2,0,0,0,0,6,1
2021-06,LATINO,WARNING ISSUED,0,0,4,0,2,0,101
2021-06,UNKNOWN,ARREST,1,0,0,0,0,1,1
2021-06,UNKNOWN,CITATION/SUMMONS,8,0,16,0,4,1,420
2021-06,UNKNOWN,NO ENFORCEMENT ACTION,1,0,0,0,0,1,0
2021-06,UNKNOWN,WARNING ISSUED,0,0,2,0,1,1,36
2021-06,WHITE,ARREST,25,0,2,0,0,4,22
2021-06,WHITE,CITATION/SUMMONS,25,1,40,0,3,2,815
2021-06,WHITE,NO ENFORCEMENT ACTION,2,0,0,0,0,10,2
2021-06,WHITE,WARNING ISSUED,1,0,12,0,2,1,222
2021-07,AAPI,ARREST,1,0,0,0,0,0,1
2021-07,AAPI,CITATION/SUMMONS,4,0,4,0,0,0,103
2021-07,AAPI,NO ENFORCEMENT ACTION,1,0,0,0,0,0,0
2021-07,AAPI,WARNING ISSUED,0,1,1,0,2,0,41
2021-07,BLACK,ARREST,1,0,0,0,0,2,3
2021-07,BLACK,CITATION/SUMMONS,4,0,15,0,0,0,209
2021-07,BLACK,NO ENFORCEMENT ACTION,3,0,1,0,3,7,2
2021-07,BLACK,WARNING ISSUED,0,1,6,0,1,2,118
2021-07,INDIGENOUS,CITATION/SUMMONS,0,0,0,0,0,0,7
2021-07,INDIGENOUS,WARNING ISSUED,0,0,0,0,0,0,2
2021-07,LATINO,ARREST,10,1,0,0,0,4,16
2021-07,LATINO,CITATION/SUMMONS,17,1,18,0,3,3,245
2021-07,LATINO,NO ENFORCEMENT ACTION,0,1,2,0,1,2,0
2021-07,LATINO,WARNING ISSUED,1,2,2,0,0,2,96
2021-07,UNKNOWN,ARREST,0,0,0,0,0,0,1
2021-07,UNKNOWN,CITATION/SUMMONS,3,0,7,0,1,2,395
2021-07,UNKNOWN,NO ENFORCEMENT ACTION,0,0,0,0,0,1,2
2021-07,UNKNOWN,WARNING ISSUED,0,0,5,0,1,0,59
2021-07,WHITE,ARREST,4,1,0,0,0,2,7
2021-07,WHITE,CITATION/SUMMONS,11,0,41,0,4,2,571
2021-07,WHITE,NO ENFORCEMENT ACTION,5,3,0,0,2,6,2
2021-07,WHITE,WARNING ISSUED,2,1,11,0,2,1,218
2021-08,AAPI,ARREST,0,1,0,0,0,0,1
2021-08,AAPI,CITATION/SUMMONS,3,0,3,0,0,0,66
2021-08,AAPI,NO ENFORCEMENT ACTION,0,0,0,0,0,4,0
2021-08,AAPI,WARNING ISSUED,2,0,1,0,2,1,19
2021-08,BLACK,ARREST,2,0,0,0,0,1,5
2021-08,BLACK,CITATION/SUMMONS,12,0,4,0,0,2,107
2021-08,BLACK,NO ENFORCEMENT ACTION,1,0,0,0,0,2,3
2021-08,BLACK,WARNING ISSUED,0,0,4,0,2,2,52
2021-08,INDIGENOUS,CITATION/SUMMONS,0,0,1,0,0,0,4
2021-08,INDIGENOUS,WARNING ISSUED,0,0,0,0,0,0,1
2021-08,LATINO,ARREST,7,1,0,0,0,2,14
2021-08,LATINO,CITATION/SUMMONS,14,0,9,0,1,0,155
2021-08,LATINO,NO ENFORCEMENT ACTION,2,0,0,0,0,1,0
2021-08,LATINO,WARNING ISSUED,0,1,3,0,2,4,57
2021-08,UNKNOWN,CITATION/SUMMONS,10,0,8,0,0,0,184
2021-08,UNKNOWN,NO ENFORCEMENT ACTION,1,0,0,0,0,1,0
2021-08,UNKNOWN,WARNING ISSUED,0,0,3,0,0,0,30
2021-08,WHITE,ARREST,5,1,0,0,0,0,5
2021-08,WHITE,CITATION/SUMMONS,17,1,19,0,2,1,309
2021-08,WHITE,NO ENFORCEMENT ACTION,9,0,2,0,1,4,0
2021-08,WHITE,WARNING ISSUED,1,0,3,0,0,4,103
2021-09,AAPI,ARREST,1,0,0,0,0,0,0
2021-09,AAPI,CITATION/SUMMONS,7,0,0,0,0,0,42
2021-09,AAPI,NO ENFORCEMENT ACTION,0,0,0,0,0,1,1
2021-09,AAPI,WARNING ISSUED,0,0,2,0,0,0,32
2021-09,BLACK,ARREST,2,0,0,0,0,0,5
